date,store_id,product_id,units_sold,revenue,price,discount,promotion,holiday,store_type,product_category,inventory,region
2025-10-01,STORE_01,PROD_01,148,2960.0,20.0,0.0,0,0,Supermarket,Electronics,191,North
2025-10-01,STORE_01,PROD_02,92,1380.0,15.0,0.0,0,0,Supermarket,Apparel,314,North
2025-10-01,STORE_02,PROD_01,108,2160.0,20.0,0.0,0,0,Hypermarket,Electronics,287,South
2025-10-01,STORE_02,PROD_02,69,1035.0,15.0,0.0,0,0,Hypermarket,Apparel,365,South
2025-10-02,STORE_01,PROD_01,154,3080.0,20.0,0.0,0,0,Supermarket,Electronics,173,North
2025-10-02,STORE_01,PROD_02,91,1365.0,15.0,0.0,0,0,Supermarket,Apparel,299,North
2025-10-02,STORE_02,PROD_01,118,2360.0,20.0,0.0,0,0,Hypermarket,Electronics,276,South
2025-10-02,STORE_02,PROD_02,83,1245.0,15.0,0.0,0,0,Hypermarket,Apparel,338,South
2025-10-03,STORE_01,PROD_01,143,2860.0,20.0,0.0,0,0,Supermarket,Electronics,221,North
2025-10-03,STORE_01,PROD_02,130,1755.0,13.5,0.1,1,0,Supermarket,Apparel,222,North
2025-10-03,STORE_02,PROD_01,134,2412.0,18.0,0.1,1,0,Hypermarket,Electronics,232,South
2025-10-03,STORE_02,PROD_02,79,1185.0,15.0,0.0,0,0,Hypermarket,Apparel,325,South
2025-10-04,STORE_01,PROD_01,202,3636.0,18.0,0.1,1,0,Supermarket,Electronics,84,North
2025-10-04,STORE_01,PROD_02,112,1680.0,15.0,0.0,0,0,Supermarket,Apparel,275,North
2025-10-04,STORE_02,PROD_01,129,2580.0,20.0,0.0,0,0,Hypermarket,Electronics,229,South
2025-10-04,STORE_02,PROD_02,100,1500.0,15.0,0.0,0,0,Hypermarket,Apparel,296,South
2025-10-05,STORE_01,PROD_01,166,3320.0,20.0,0.0,0,0,Supermarket,Electronics,151,North
2025-10-05,STORE_01,PROD_02,116,1740.0,15.0,0.0,0,0,Supermarket,Apparel,251,North
2025-10-05,STORE_02,PROD_01,140,2800.0,20.0,0.0,0,0,Hypermarket,Electronics,225,South
2025-10-05,STORE_02,PROD_02,96,1440.0,15.0,0.0,0,0,Hypermarket,Apparel,323,South
2025-10-06,STORE_01,PROD_01,149,2980.0,20.0,0.0,0,0,Supermarket,Electronics,196,North
2025-10-06,STORE_01,PROD_02,108,1620.0,15.0,0.0,0,0,Supermarket,Apparel,303,North
2025-10-06,STORE_02,PROD_01,140,2520.0,18.0,0.1,1,0,Hypermarket,Electronics,217,South
2025-10-06,STORE_02,PROD_02,85,1275.0,15.0,0.0,0,0,Hypermarket,Apparel,335,South
2025-10-07,STORE_01,PROD_01,176,3168.0,18.0,0.1,1,0,Supermarket,Electronics,156,North
2025-10-07,STORE_01,PROD_02,116,1566.0,13.5,0.1,1,0,Supermarket,Apparel,272,North
2025-10-07,STORE_02,PROD_01,151,2718.0,18.0,0.1,1,0,Hypermarket,Electronics,178,South
2025-10-07,STORE_02,PROD_02,85,1275.0,15.0,0.0,0,0,Hypermarket,Apparel,320,South
2025-10-08,STORE_01,PROD_01,141,2820.0,20.0,0.0,0,0,Supermarket,Electronics,232,North
2025-10-08,STORE_01,PROD_02,90,1350.0,15.0,0.0,0,0,Supermarket,Apparel,338,North
2025-10-08,STORE_02,PROD_01,104,2080.0,20.0,0.0,0,0,Hypermarket,Electronics,280,South
2025-10-08,STORE_02,PROD_02,63,945.0,15.0,0.0,0,0,Hypermarket,Apparel,386,South
2025-10-09,STORE_01,PROD_01,156,3120.0,20.0,0.0,0,0,Supermarket,Electronics,191,North
2025-10-09,STORE_01,PROD_02,97,1455.0,15.0,0.0,0,0,Supermarket,Apparel,325,North
2025-10-09,STORE_02,PROD_01,100,2000.0,20.0,0.0,0,0,Hypermarket,Electronics,280,South
2025-10-09,STORE_02,PROD_02,76,1140.0,15.0,0.0,0,0,Hypermarket,Apparel,341,South
2025-10-10,STORE_01,PROD_01,168,3024.0,18.0,0.1,1,0,Supermarket,Electronics,169,North
2025-10-10,STORE_01,PROD_02,99,1485.0,15.0,0.0,0,0,Supermarket,Apparel,320,North
2025-10-10,STORE_02,PROD_01,112,2240.0,20.0,0.0,0,0,Hypermarket,Electronics,270,South
2025-10-10,STORE_02,PROD_02,74,1110.0,15.0,0.0,0,0,Hypermarket,Apparel,363,South
2025-10-11,STORE_01,PROD_01,178,3560.0,20.0,0.0,0,0,Supermarket,Electronics,155,North
2025-10-11,STORE_01,PROD_02,115,1725.0,15.0,0.0,0,0,Supermarket,Apparel,272,North
2025-10-11,STORE_02,PROD_01,137,2740.0,20.0,0.0,0,0,Hypermarket,Electronics,234,South
2025-10-11,STORE_02,PROD_02,93,1395.0,15.0,0.0,0,0,Hypermarket,Apparel,315,South
2025-10-12,STORE_01,PROD_01,198,3564.0,18.0,0.1,1,0,Supermarket,Electronics,89,North
2025-10-12,STORE_01,PROD_02,122,1830.0,15.0,0.0,0,0,Supermarket,Apparel,255,North
2025-10-12,STORE_02,PROD_01,163,2934.0,18.0,0.1,1,0,Hypermarket,Electronics,181,South
2025-10-12,STORE_02,PROD_02,87,1305.0,15.0,0.0,0,0,Hypermarket,Apparel,306,South
2025-10-13,STORE_01,PROD_01,158,3160.0,20.0,0.0,0,0,Supermarket,Electronics,176,North
2025-10-13,STORE_01,PROD_02,122,1647.0,13.5,0.1,1,0,Supermarket,Apparel,241,North
2025-10-13,STORE_02,PROD_01,106,2120.0,20.0,0.0,0,0,Hypermarket,Electronics,304,South
2025-10-13,STORE_02,PROD_02,71,1065.0,15.0,0.0,0,0,Hypermarket,Apparel,361,South
2025-10-14,STORE_01,PROD_01,185,3330.0,18.0,0.1,1,0,Supermarket,Electronics,141,North
2025-10-14,STORE_01,PROD_02,94,1410.0,15.0,0.0,0,0,Supermarket,Apparel,303,North
2025-10-14,STORE_02,PROD_01,99,1980.0,20.0,0.0,0,0,Hypermarket,Electronics,284,South
2025-10-14,STORE_02,PROD_02,78,1170.0,15.0,0.0,0,0,Hypermarket,Apparel,340,South
2025-10-15,STORE_01,PROD_01,135,2700.0,20.0,0.0,0,0,Supermarket,Electronics,211,North
2025-10-15,STORE_01,PROD_02,108,1620.0,15.0,0.0,0,0,Supermarket,Apparel,300,North
2025-10-15,STORE_02,PROD_01,98,1960.0,20.0,0.0,0,0,Hypermarket,Electronics,302,South
2025-10-15,STORE_02,PROD_02,82,1230.0,15.0,0.0,0,0,Hypermarket,Apparel,341,South
2025-10-16,STORE_01,PROD_01,186,3348.0,18.0,0.1,1,0,Supermarket,Electronics,111,North
2025-10-16,STORE_01,PROD_02,109,1635.0,15.0,0.0,0,0,Supermarket,Apparel,278,North
2025-10-16,STORE_02,PROD_01,121,2420.0,20.0,0.0,0,0,Hypermarket,Electronics,242,South
2025-10-16,STORE_02,PROD_02,67,1005.0,15.0,0.0,0,0,Hypermarket,Apparel,367,South
2025-10-17,STORE_01,PROD_01,149,2980.0,20.0,0.0,0,0,Supermarket,Electronics,197,North
2025-10-17,STORE_01,PROD_02,121,1633.5,13.5,0.1,1,0,Supermarket,Apparel,253,North
2025-10-17,STORE_02,PROD_01,117,2340.0,20.0,0.0,0,0,Hypermarket,Electronics,281,South
2025-10-17,STORE_02,PROD_02,64,960.0,15.0,0.0,0,0,Hypermarket,Apparel,370,South
2025-10-18,STORE_01,PROD_01,165,3300.0,20.0,0.0,0,0,Supermarket,Electronics,182,North
2025-10-18,STORE_01,PROD_02,117,1755.0,15.0,0.0,0,0,Supermarket,Apparel,263,North
2025-10-18,STORE_02,PROD_01,163,2934.0,18.0,0.1,1,0,Hypermarket,Electronics,181,South
2025-10-18,STORE_02,PROD_02,104,1560.0,15.0,0.0,0,0,Hypermarket,Apparel,294,South
2025-10-19,STORE_01,PROD_01,168,3360.0,20.0,0.0,0,0,Supermarket,Electronics,178,North
2025-10-19,STORE_01,PROD_02,126,1890.0,15.0,0.0,0,0,Supermarket,Apparel,253,North
2025-10-19,STORE_02,PROD_01,172,3096.0,18.0,0.1,1,0,Hypermarket,Electronics,137,South
2025-10-19,STORE_02,PROD_02,128,1728.0,13.5,0.1,1,0,Hypermarket,Apparel,228,South
2025-10-20,STORE_01,PROD_01,186,3348.0,18.0,0.1,1,0,Supermarket,Electronics,116,North
2025-10-20,STORE_01,PROD_02,104,1560.0,15.0,0.0,0,0,Supermarket,Apparel,287,North
2025-10-20,STORE_02,PROD_01,151,2718.0,18.0,0.1,1,0,Hypermarket,Electronics,210,South
2025-10-20,STORE_02,PROD_02,72,1080.0,15.0,0.0,0,0,Hypermarket,Apparel,343,South
2025-10-21,STORE_01,PROD_01,141,2820.0,20.0,0.0,0,0,Supermarket,Electronics,217,North
2025-10-21,STORE_01,PROD_02,101,1515.0,15.0,0.0,0,0,Supermarket,Apparel,302,North
2025-10-21,STORE_02,PROD_01,115,2300.0,20.0,0.0,0,0,Hypermarket,Electronics,267,South
2025-10-21,STORE_02,PROD_02,64,960.0,15.0,0.0,0,0,Hypermarket,Apparel,367,South
2025-10-22,STORE_01,PROD_01,167,3006.0,18.0,0.1,1,0,Supermarket,Electronics,178,North
2025-10-22,STORE_01,PROD_02,99,1485.0,15.0,0.0,0,0,Supermarket,Apparel,302,North
2025-10-22,STORE_02,PROD_01,121,2420.0,20.0,0.0,0,0,Hypermarket,Electronics,245,South
2025-10-22,STORE_02,PROD_02,108,1458.0,13.5,0.1,1,0,Hypermarket,Apparel,296,South
2025-10-23,STORE_01,PROD_01,152,3040.0,20.0,0.0,0,0,Supermarket,Electronics,197,North
2025-10-23,STORE_01,PROD_02,99,1485.0,15.0,0.0,0,0,Supermarket,Apparel,311,North
2025-10-23,STORE_02,PROD_01,140,2520.0,18.0,0.1,1,0,Hypermarket,Electronics,207,South
2025-10-23,STORE_02,PROD_02,63,945.0,15.0,0.0,0,0,Hypermarket,Apparel,374,South
2025-10-24,STORE_01,PROD_01,148,2960.0,20.0,0.0,0,0,Supermarket,Electronics,216,North
2025-10-24,STORE_01,PROD_02,101,1515.0,15.0,0.0,0,0,Supermarket,Apparel,296,North
2025-10-24,STORE_02,PROD_01,114,2280.0,20.0,0.0,0,0,Hypermarket,Electronics,268,South
2025-10-24,STORE_02,PROD_02,105,1417.5,13.5,0.1,1,0,Hypermarket,Apparel,275,South
2025-10-25,STORE_01,PROD_01,167,3340.0,20.0,0.0,0,0,Supermarket,Electronics,182,North
2025-10-25,STORE_01,PROD_02,157,2119.5,13.5,0.1,1,0,Supermarket,Apparel,196,North
2025-10-25,STORE_02,PROD_01,153,2754.0,18.0,0.1,1,0,Hypermarket,Electronics,194,South
2025-10-25,STORE_02,PROD_02,87,1305.0,15.0,0.0,0,0,Hypermarket,Apparel,308,South
2025-10-26,STORE_01,PROD_01,183,3660.0,20.0,0.0,0,0,Supermarket,Electronics,144,North
2025-10-26,STORE_01,PROD_02,143,1930.5,13.5,0.1,1,0,Supermarket,Apparel,233,North
2025-10-26,STORE_02,PROD_01,140,2800.0,20.0,0.0,0,0,Hypermarket,Electronics,231,South
2025-10-26,STORE_02,PROD_02,109,1635.0,15.0,0.0,0,0,Hypermarket,Apparel,263,South
2025-10-27,STORE_01,PROD_01,143,2860.0,20.0,0.0,0,0,Supermarket,Electronics,195,North
2025-10-27,STORE_01,PROD_02,93,1395.0,15.0,0.0,0,0,Supermarket,Apparel,326,North
2025-10-27,STORE_02,PROD_01,119,2380.0,20.0,0.0,0,0,Hypermarket,Electronics,280,South
2025-10-27,STORE_02,PROD_02,84,1260.0,15.0,0.0,0,0,Hypermarket,Apparel,337,South
2025-10-28,STORE_01,PROD_01,188,3384.0,18.0,0.1,1,0,Supermarket,Electronics,127,North
2025-10-28,STORE_01,PROD_02,122,1647.0,13.5,0.1,1,0,Supermarket,Apparel,271,North
2025-10-28,STORE_02,PROD_01,98,1960.0,20.0,0.0,0,0,Hypermarket,Electronics,291,South
2025-10-28,STORE_02,PROD_02,77,1155.0,15.0,0.0,0,0,Hypermarket,Apparel,339,South
2025-10-29,STORE_01,PROD_01,186,3348.0,18.0,0.1,1,0,Supermarket,Electronics,122,North
2025-10-29,STORE_01,PROD_02,87,1305.0,15.0,0.0,0,0,Supermarket,Apparel,337,North
2025-10-29,STORE_02,PROD_01,119,2380.0,20.0,0.0,0,0,Hypermarket,Electronics,266,South
2025-10-29,STORE_02,PROD_02,83,1245.0,15.0,0.0,0,0,Hypermarket,Apparel,335,South
2025-10-30,STORE_01,PROD_01,143,2860.0,20.0,0.0,0,0,Supermarket,Electronics,199,North
2025-10-30,STORE_01,PROD_02,96,1440.0,15.0,0.0,0,0,Supermarket,Apparel,324,North
2025-10-30,STORE_02,PROD_01,118,2360.0,20.0,0.0,0,0,Hypermarket,Electronics,248,South
