date,store_id,product_id,units_sold,price,discount,promotion,store_type,product_category,inventory
2026-01-01,S001,P001,112,100.0,0,0,Supermarket,Grocery,488
2026-01-02,S001,P001,122,100.0,0,0,Supermarket,Grocery,460
2026-01-03,S001,P001,156,100.0,0,1,Supermarket,Grocery,430
2026-01-04,S001,P001,131,100.0,0,0,Supermarket,Grocery,421
2026-01-05,S001,P001,101,100.0,0,0,Supermarket,Grocery,405
2026-01-06,S001,P001,124,100.0,0,0,Supermarket,Grocery,384
2026-01-07,S001,P001,121,100.0,0,0,Supermarket,Grocery,352
2026-01-08,S001,P001,145,100.0,0,1,Supermarket,Grocery,338
2026-01-09,S001,P001,116,100.0,0,0,Supermarket,Grocery,311
2026-01-10,S001,P001,142,100.0,0,0,Supermarket,Grocery,304
2026-01-11,S001,P001,144,100.0,0,0,Supermarket,Grocery,272
2026-01-12,S001,P001,147,100.0,0,1,Supermarket,Grocery,257
2026-01-13,S001,P001,109,100.0,0,0,Supermarket,Grocery,233
2026-01-14,S001,P001,118,100.0,0,0,Supermarket,Grocery,227
2026-01-15,S001,P001,125,100.0,0,0,Supermarket,Grocery,497
2026-01-16,S001,P001,121,100.0,0,0,Supermarket,Grocery,477
2026-01-17,S001,P001,178,100.0,10,1,Supermarket,Grocery,462
2026-01-18,S001,P001,143,100.0,0,0,Supermarket,Grocery,444
2026-01-19,S001,P001,120,100.0,0,0,Supermarket,Grocery,410
2026-01-20,S001,P001,118,100.0,0,0,Supermarket,Grocery,400
2026-01-21,S001,P001,127,100.0,0,0,Supermarket,Grocery,374
2026-01-22,S001,P001,150,100.0,0,1,Supermarket,Grocery,356
2026-01-23,S001,P001,144,100.0,0,1,Supermarket,Grocery,334
2026-01-24,S001,P001,129,100.0,0,0,Supermarket,Grocery,317
2026-01-25,S001,P001,119,100.0,0,0,Supermarket,Grocery,304
2026-01-26,S001,P001,128,100.0,0,0,Supermarket,Grocery,270
2026-01-27,S001,P001,114,100.0,0,0,Supermarket,Grocery,258
2026-01-28,S001,P001,114,100.0,0,0,Supermarket,Grocery,239
2026-01-29,S001,P001,121,100.0,0,0,Supermarket,Grocery,226
2026-01-30,S001,P001,120,100.0,0,0,Supermarket,Grocery,493
2026-01-31,S001,P001,171,100.0,0,1,Supermarket,Grocery,473
2026-02-01,S001,P001,156,100.0,0,1,Supermarket,Grocery,488
2026-02-02,S001,P001,127,100.0,0,0,Supermarket,Grocery,461
2026-02-03,S001,P001,122,100.0,0,0,Supermarket,Grocery,440
2026-02-04,S001,P001,118,100.0,0,0,Supermarket,Grocery,410
2026-02-05,S001,P001,114,100.0,0,0,Supermarket,Grocery,409
2026-02-06,S001,P001,114,100.0,0,0,Supermarket,Grocery,378
2026-02-07,S001,P001,131,100.0,0,0,Supermarket,Grocery,350
2026-02-08,S001,P001,138,100.0,0,0,Supermarket,Grocery,338
2026-02-09,S001,P001,119,100.0,0,0,Supermarket,Grocery,326
2026-02-10,S001,P001,126,100.0,0,0,Supermarket,Grocery,292
2026-02-11,S001,P001,112,100.0,0,0,Supermarket,Grocery,286
2026-02-12,S001,P001,145,100.0,0,1,Supermarket,Grocery,254
2026-02-13,S001,P001,122,100.0,0,0,Supermarket,Grocery,230
2026-02-14,S001,P001,135,100.0,0,0,Supermarket,Grocery,215
2026-02-15,S001,P001,126,100.0,0,0,Supermarket,Grocery,493
2026-02-16,S001,P001,110,100.0,0,0,Supermarket,Grocery,475
2026-02-17,S001,P001,115,100.0,0,0,Supermarket,Grocery,469
2026-02-18,S001,P001,149,100.0,0,1,Supermarket,Grocery,438
2026-02-19,S001,P001,124,100.0,0,0,Supermarket,Grocery,415
2026-02-20,S001,P001,117,100.0,0,0,Supermarket,Grocery,393
2026-02-21,S001,P001,141,100.0,0,0,Supermarket,Grocery,372
2026-02-22,S001,P001,163,100.0,0,1,Supermarket,Grocery,357
2026-02-23,S001,P001,101,100.0,0,0,Supermarket,Grocery,347
2026-02-24,S001,P001,151,100.0,15,1,Supermarket,Grocery,325
2026-02-25,S001,P001,111,100.0,0,0,Supermarket,Grocery,306
2026-02-26,S001,P001,122,100.0,0,0,Supermarket,Grocery,278
2026-02-27,S001,P001,126,100.0,0,0,Supermarket,Grocery,268
2026-02-28,S001,P001,139,100.0,0,0,Supermarket,Grocery,240
2026-03-01,S001,P001,169,100.0,10,1,Supermarket,Grocery,477
2026-03-02,S001,P001,121,100.0,0,0,Supermarket,Grocery,452
2026-03-03,S001,P001,111,100.0,0,0,Supermarket,Grocery,438
2026-03-04,S001,P001,120,100.0,0,0,Supermarket,Grocery,425
2026-03-05,S001,P001,117,100.0,0,0,Supermarket,Grocery,397
2026-03-06,S001,P001,139,100.0,0,1,Supermarket,Grocery,388
2026-03-07,S001,P001,136,100.0,0,0,Supermarket,Grocery,363
2026-03-08,S001,P001,135,100.0,0,0,Supermarket,Grocery,337
2026-03-09,S001,P001,123,100.0,0,0,Supermarket,Grocery,311
2026-03-10,S001,P001,130,100.0,0,0,Supermarket,Grocery,290
2026-03-11,S001,P001,129,100.0,0,0,Supermarket,Grocery,285
2026-03-12,S001,P001,120,100.0,0,0,Supermarket,Grocery,266
2026-03-13,S001,P001,144,100.0,0,1,Supermarket,Grocery,243
2026-03-14,S001,P001,163,100.0,0,1,Supermarket,Grocery,212
2026-03-15,S001,P001,160,100.0,0,1,Supermarket,Grocery,490
2026-03-16,S001,P001,121,100.0,0,0,Supermarket,Grocery,472
2026-03-17,S001,P001,111,100.0,0,0,Supermarket,Grocery,467
2026-03-18,S001,P001,128,100.0,0,0,Supermarket,Grocery,446
2026-03-19,S001,P001,145,100.0,0,1,Supermarket,Grocery,425
2026-03-20,S001,P001,115,100.0,0,0,Supermarket,Grocery,407
2026-03-21,S001,P001,147,100.0,15,1,Supermarket,Grocery,376
2026-03-22,S001,P001,139,100.0,0,0,Supermarket,Grocery,363
2026-03-23,S001,P001,129,100.0,0,0,Supermarket,Grocery,341
2026-03-24,S001,P001,133,100.0,0,1,Supermarket,Grocery,328
2026-03-25,S001,P001,136,100.0,0,0,Supermarket,Grocery,306
2026-03-26,S001,P001,117,100.0,0,0,Supermarket,Grocery,274
2026-03-27,S001,P001,128,100.0,0,0,Supermarket,Grocery,261
2026-03-28,S001,P001,157,100.0,0,1,Supermarket,Grocery,244
2026-03-29,S001,P001,138,100.0,0,0,Supermarket,Grocery,217
2026-03-30,S001,P001,120,100.0,0,0,Supermarket,Grocery,508
2026-03-31,S001,P001,123,100.0,0,0,Supermarket,Grocery,488
2026-04-01,S001,P001,114,100.0,0,0,Supermarket,Grocery,470
2026-04-02,S001,P001,133,100.0,0,0,Supermarket,Grocery,465
2026-04-03,S001,P001,121,100.0,0,0,Supermarket,Grocery,436
2026-04-04,S001,P001,139,100.0,0,0,Supermarket,Grocery,414
2026-04-05,S001,P001,123,100.0,0,0,Supermarket,Grocery,405
2026-04-06,S001,P001,117,100.0,0,0,Supermarket,Grocery,383
2026-04-07,S001,P001,118,100.0,0,0,Supermarket,Grocery,369
2026-04-08,S001,P001,116,100.0,0,0,Supermarket,Grocery,345
2026-04-09,S001,P001,95,100.0,0,0,Supermarket,Grocery,310
2026-04-10,S001,P001,112,100.0,0,0,Supermarket,Grocery,294
2026-04-11,S001,P001,147,100.0,0,0,Supermarket,Grocery,271
2026-04-12,S001,P001,145,100.0,0,0,Supermarket,Grocery,259
2026-04-13,S001,P001,129,100.0,0,0,Supermarket,Grocery,234
2026-04-14,S001,P001,120,100.0,0,0,Supermarket,Grocery,225
2026-04-15,S001,P001,119,100.0,0,0,Supermarket,Grocery,509
2026-04-16,S001,P001,120,100.0,0,0,Supermarket,Grocery,487
2026-04-17,S001,P001,121,100.0,0,0,Supermarket,Grocery,460
2026-04-18,S001,P001,158,100.0,0,1,Supermarket,Grocery,430
2026-04-19,S001,P001,130,100.0,0,0,Supermarket,Grocery,421
2026-04-20,S001,P001,114,100.0,0,0,Supermarket,Grocery,391
2026-04-21,S001,P001,108,100.0,0,0,Supermarket,Grocery,377
2026-04-22,S001,P001,128,100.0,0,0,Supermarket,Grocery,359
2026-04-23,S001,P001,116,100.0,0,0,Supermarket,Grocery,333
2026-04-24,S001,P001,126,100.0,0,0,Supermarket,Grocery,327
2026-04-25,S001,P001,137,100.0,0,0,Supermarket,Grocery,293
2026-04-26,S001,P001,139,100.0,0,0,Supermarket,Grocery,278
2026-04-27,S001,P001,132,100.0,0,0,Supermarket,Grocery,253
2026-04-28,S001,P001,124,100.0,0,0,Supermarket,Grocery,236
2026-04-29,S001,P001,121,100.0,0,0,Supermarket,Grocery,221
2026-04-30,S001,P001,128,100.0,0,0,Supermarket,Grocery,502
2026-05-01,S001,P001,115,100.0,0,0,Supermarket,Grocery,486
2026-05-02,S001,P001,125,100.0,0,0,Supermarket,Grocery,465
2026-05-03,S001,P001,131,100.0,0,0,Supermarket,Grocery,433
2026-05-04,S001,P001,118,100.0,0,0,Supermarket,Grocery,418
2026-05-05,S001,P001,145,100.0,0,1,Supermarket,Grocery,409
2026-05-06,S001,P001,122,100.0,0,0,Supermarket,Grocery,384
2026-05-07,S001,P001,121,100.0,0,0,Supermarket,Grocery,369
2026-05-08,S001,P001,114,100.0,0,0,Supermarket,Grocery,333
2026-05-09,S001,P001,174,100.0,10,1,Supermarket,Grocery,324
2026-05-10,S001,P001,138,100.0,0,0,Supermarket,Grocery,299
2026-05-11,S001,P001,143,100.0,15,1,Supermarket,Grocery,277
2026-05-12,S001,P001,129,100.0,0,0,Supermarket,Grocery,267
2026-05-13,S001,P001,133,100.0,0,1,Supermarket,Grocery,237
2026-05-14,S001,P001,120,100.0,0,0,Supermarket,Grocery,210
2026-05-15,S001,P001,146,100.0,0,1,Supermarket,Grocery,493
2026-05-16,S001,P001,141,100.0,0,0,Supermarket,Grocery,488
2026-05-17,S001,P001,119,100.0,0,0,Supermarket,Grocery,468
2026-05-18,S001,P001,132,100.0,0,0,Supermarket,Grocery,432
2026-05-19,S001,P001,131,100.0,0,0,Supermarket,Grocery,429
2026-05-20,S001,P001,105,100.0,0,0,Supermarket,Grocery,398
2026-05-21,S001,P001,112,100.0,0,0,Supermarket,Grocery,386
2026-05-22,S001,P001,126,100.0,0,0,Supermarket,Grocery,350
2026-05-23,S001,P001,135,100.0,0,0,Supermarket,Grocery,340
2026-05-24,S001,P001,167,100.0,0,1,Supermarket,Grocery,328
2026-05-25,S001,P001,156,100.0,0,1,Supermarket,Grocery,290
2026-05-26,S001,P001,127,100.0,0,0,Supermarket,Grocery,272
2026-05-27,S001,P001,145,100.0,0,1,Supermarket,Grocery,257
2026-05-28,S001,P001,127,100.0,0,0,Supermarket,Grocery,233
2026-05-29,S001,P001,128,100.0,0,0,Supermarket,Grocery,214
2026-05-30,S001,P001,146,100.0,20,1,Supermarket,Grocery,506
2026-05-31,S001,P001,148,100.0,0,0,Supermarket,Grocery,485
2026-06-01,S001,P001,109,100.0,0,0,Supermarket,Grocery,483
2026-06-02,S001,P001,120,100.0,0,0,Supermarket,Grocery,454
2026-06-03,S001,P001,125,100.0,0,0,Supermarket,Grocery,431
2026-06-04,S001,P001,121,100.0,0,0,Supermarket,Grocery,414
2026-06-05,S001,P001,128,100.0,0,0,Supermarket,Grocery,390
2026-06-06,S001,P001,137,100.0,0,0,Supermarket,Grocery,380
2026-06-07,S001,P001,135,100.0,0,0,Supermarket,Grocery,366
2026-06-08,S001,P001,133,100.0,0,1,Supermarket,Grocery,345
2026-06-09,S001,P001,116,100.0,0,0,Supermarket,Grocery,326
2026-06-10,S001,P001,122,100.0,0,0,Supermarket,Grocery,294
2026-06-11,S001,P001,121,100.0,0,0,Supermarket,Grocery,279
2026-06-12,S001,P001,137,100.0,0,1,Supermarket,Grocery,268
2026-06-13,S001,P001,134,100.0,0,0,Supermarket,Grocery,233
2026-06-14,S001,P001,143,100.0,0,0,Supermarket,Grocery,217
2026-06-15,S001,P001,132,100.0,0,0,Supermarket,Grocery,491
2026-06-16,S001,P001,116,100.0,0,0,Supermarket,Grocery,470
2026-06-17,S001,P001,127,100.0,0,0,Supermarket,Grocery,454
2026-06-18,S001,P001,123,100.0,0,0,Supermarket,Grocery,444
2026-06-19,S001,P001,130,100.0,0,0,Supermarket,Grocery,414
2026-06-20,S001,P001,128,100.0,0,0,Supermarket,Grocery,395
2026-06-21,S001,P001,140,100.0,0,0,Supermarket,Grocery,371
2026-06-22,S001,P001,107,100.0,0,0,Supermarket,Grocery,368
2026-06-23,S001,P001,156,100.0,0,1,Supermarket,Grocery,335
2026-06-24,S001,P001,118,100.0,0,0,Supermarket,Grocery,319
2026-06-25,S001,P001,149,100.0,15,1,Supermarket,Grocery,293
2026-06-26,S001,P001,123,100.0,0,0,Supermarket,Grocery,289
2026-06-27,S001,P001,139,100.0,0,0,Supermarket,Grocery,251
2026-06-28,S001,P001,126,100.0,0,0,Supermarket,Grocery,240
2026-06-29,S001,P001,116,100.0,0,0,Supermarket,Grocery,228
2026-06-30,S001,P001,138,100.0,0,0,Supermarket,Grocery,500
2026-07-01,S001,P001,112,100.0,0,0,Supermarket,Grocery,477
2026-07-02,S001,P001,114,100.0,0,0,Supermarket,Grocery,452
2026-07-03,S001,P001,133,100.0,0,0,Supermarket,Grocery,447
2026-07-04,S001,P001,139,100.0,0,0,Supermarket,Grocery,427
2026-07-05,S001,P001,131,100.0,0,0,Supermarket,Grocery,395
2026-07-06,S001,P001,109,100.0,0,0,Supermarket,Grocery,371
2026-07-07,S001,P001,119,100.0,0,0,Supermarket,Grocery,362
2026-07-08,S001,P001,120,100.0,0,0,Supermarket,Grocery,344
2026-07-09,S001,P001,113,100.0,0,0,Supermarket,Grocery,320
2026-07-10,S001,P001,151,100.0,0,1,Supermarket,Grocery,306
2026-07-11,S001,P001,131,100.0,0,0,Supermarket,Grocery,289
2026-07-12,S001,P001,133,100.0,0,0,Supermarket,Grocery,263
2026-07-13,S001,P001,102,100.0,0,0,Supermarket,Grocery,242
2026-07-14,S001,P001,126,100.0,0,0,Supermarket,Grocery,220
2026-07-15,S001,P001,123,100.0,0,0,Supermarket,Grocery,502
2026-07-16,S001,P001,139,100.0,0,1,Supermarket,Grocery,474
2026-07-17,S001,P001,119,100.0,0,0,Supermarket,Grocery,456
2026-07-18,S001,P001,130,100.0,0,0,Supermarket,Grocery,441
2026-07-19,S001,P001,127,100.0,0,0,Supermarket,Grocery,422
2026-07-20,S001,P001,128,100.0,0,0,Supermarket,Grocery,402
2026-07-21,S001,P001,125,100.0,0,0,Supermarket,Grocery,373
2026-07-22,S001,P001,132,100.0,0,0,Supermarket,Grocery,366
2026-07-23,S001,P001,124,100.0,0,0,Supermarket,Grocery,339
2026-07-24,S001,P001,131,100.0,0,0,Supermarket,Grocery,311
2026-07-25,S001,P001,125,100.0,0,0,Supermarket,Grocery,302
2026-07-26,S001,P001,131,100.0,0,0,Supermarket,Grocery,285
2026-07-27,S001,P001,110,100.0,0,0,Supermarket,Grocery,260
2026-07-28,S001,P001,126,100.0,0,0,Supermarket,Grocery,244
2026-07-29,S001,P001,146,100.0,0,1,Supermarket,Grocery,215
2026-07-30,S001,P001,120,100.0,0,0,Supermarket,Grocery,497
2026-07-31,S001,P001,126,100.0,0,0,Supermarket,Grocery,482
2026-08-01,S001,P001,131,100.0,0,0,Supermarket,Grocery,488
2026-08-02,S001,P001,127,100.0,0,0,Supermarket,Grocery,469
2026-08-03,S001,P001,122,100.0,0,0,Supermarket,Grocery,435
2026-08-04,S001,P001,113,100.0,0,0,Supermarket,Grocery,420
2026-08-05,S001,P001,132,100.0,0,1,Supermarket,Grocery,399
2026-08-06,S001,P001,129,100.0,0,0,Supermarket,Grocery,379
2026-08-07,S001,P001,141,100.0,0,1,Supermarket,Grocery,354
2026-08-08,S001,P001,141,100.0,0,0,Supermarket,Grocery,338
2026-08-09,S001,P001,116,100.0,0,0,Supermarket,Grocery,326
2026-08-10,S001,P001,139,100.0,10,1,Supermarket,Grocery,307
2026-08-11,S001,P001,121,100.0,0,0,Supermarket,Grocery,281
2026-08-12,S001,P001,120,100.0,0,0,Supermarket,Grocery,250
2026-08-13,S001,P001,129,100.0,0,0,Supermarket,Grocery,237
2026-08-14,S001,P001,147,100.0,10,1,Supermarket,Grocery,212
2026-08-15,S001,P001,139,100.0,0,0,Supermarket,Grocery,493
2026-08-16,S001,P001,143,100.0,0,0,Supermarket,Grocery,479
2026-08-17,S001,P001,118,100.0,0,0,Supermarket,Grocery,463
2026-08-18,S001,P001,155,100.0,0,1,Supermarket,Grocery,430
2026-08-19,S001,P001,108,100.0,0,0,Supermarket,Grocery,410
2026-08-20,S001,P001,120,100.0,0,0,Supermarket,Grocery,391
2026-08-21,S001,P001,121,100.0,0,0,Supermarket,Grocery,388
2026-08-22,S001,P001,141,100.0,0,0,Supermarket,Grocery,352
2026-08-23,S001,P001,129,100.0,0,0,Supermarket,Grocery,344
2026-08-24,S001,P001,142,100.0,0,1,Supermarket,Grocery,316
2026-08-25,S001,P001,127,100.0,0,0,Supermarket,Grocery,290
2026-01-01,S001,P002,45,250.0,0,0,Supermarket,Electronics,471
2026-01-02,S001,P002,38,250.0,0,0,Supermarket,Electronics,455
2026-01-03,S001,P002,61,250.0,0,0,Supermarket,Electronics,444
2026-01-04,S001,P002,90,250.0,0,1,Supermarket,Electronics,414
2026-01-05,S001,P002,37,250.0,0,0,Supermarket,Electronics,393
2026-01-06,S001,P002,46,250.0,0,0,Supermarket,Electronics,388
2026-01-07,S001,P002,50,250.0,0,0,Supermarket,Electronics,360
2026-01-08,S001,P002,31,250.0,0,0,Supermarket,Electronics,344
2026-01-09,S001,P002,35,250.0,0,0,Supermarket,Electronics,320
2026-01-10,S001,P002,56,250.0,0,0,Supermarket,Electronics,290
2026-01-11,S001,P002,76,250.0,0,0,Supermarket,Electronics,280
2026-01-12,S001,P002,68,250.0,0,1,Supermarket,Electronics,257
2026-01-13,S001,P002,41,250.0,0,0,Supermarket,Electronics,246
2026-01-14,S001,P002,30,250.0,0,0,Supermarket,Electronics,223
2026-01-15,S001,P002,80,250.0,15,1,Supermarket,Electronics,490
2026-01-16,S001,P002,40,250.0,0,0,Supermarket,Electronics,477
2026-01-17,S001,P002,63,250.0,0,0,Supermarket,Electronics,464
2026-01-18,S001,P002,63,250.0,0,0,Supermarket,Electronics,438
2026-01-19,S001,P002,36,250.0,0,0,Supermarket,Electronics,429
2026-01-20,S001,P002,39,250.0,0,0,Supermarket,Electronics,407
2026-01-21,S001,P002,45,250.0,0,0,Supermarket,Electronics,386
2026-01-22,S001,P002,43,250.0,0,0,Supermarket,Electronics,369
2026-01-23,S001,P002,28,250.0,0,0,Supermarket,Electronics,330
2026-01-24,S001,P002,69,250.0,0,0,Supermarket,Electronics,327
2026-01-25,S001,P002,64,250.0,0,0,Supermarket,Electronics,296
2026-01-26,S001,P002,73,250.0,0,1,Supermarket,Electronics,277
2026-01-27,S001,P002,41,250.0,0,0,Supermarket,Electronics,250
2026-01-28,S001,P002,30,250.0,0,0,Supermarket,Electronics,248
2026-01-29,S001,P002,25,250.0,0,0,Supermarket,Electronics,226
2026-01-30,S001,P002,60,250.0,0,0,Supermarket,Electronics,507
2026-01-31,S001,P002,47,250.0,0,0,Supermarket,Electronics,488
2026-02-01,S001,P002,34,250.0,0,0,Supermarket,Electronics,487
2026-02-02,S001,P002,48,250.0,0,0,Supermarket,Electronics,468
2026-02-03,S001,P002,42,250.0,0,0,Supermarket,Electronics,436
2026-02-04,S001,P002,38,250.0,0,0,Supermarket,Electronics,419
2026-02-05,S001,P002,32,250.0,0,0,Supermarket,Electronics,407
2026-02-06,S001,P002,79,250.0,0,1,Supermarket,Electronics,372
2026-02-07,S001,P002,55,250.0,0,0,Supermarket,Electronics,352
2026-02-08,S001,P002,79,250.0,0,1,Supermarket,Electronics,337
2026-02-09,S001,P002,46,250.0,0,0,Supermarket,Electronics,323
2026-02-10,S001,P002,58,250.0,0,1,Supermarket,Electronics,294
2026-02-11,S001,P002,27,250.0,0,0,Supermarket,Electronics,287
2026-02-12,S001,P002,33,250.0,0,0,Supermarket,Electronics,256
2026-02-13,S001,P002,42,250.0,0,0,Supermarket,Electronics,247
2026-02-14,S001,P002,86,250.0,10,1,Supermarket,Electronics,229
2026-02-15,S001,P002,52,250.0,0,0,Supermarket,Electronics,501
2026-02-16,S001,P002,73,250.0,0,1,Supermarket,Electronics,478
2026-02-17,S001,P002,41,250.0,0,0,Supermarket,Electronics,461
2026-02-18,S001,P002,40,250.0,0,0,Supermarket,Electronics,439
2026-02-19,S001,P002,40,250.0,0,0,Supermarket,Electronics,426
2026-02-20,S001,P002,42,250.0,0,0,Supermarket,Electronics,406
2026-02-21,S001,P002,72,250.0,0,0,Supermarket,Electronics,376
2026-02-22,S001,P002,60,250.0,0,0,Supermarket,Electronics,360
2026-02-23,S001,P002,48,250.0,0,0,Supermarket,Electronics,335
2026-02-24,S001,P002,74,250.0,0,1,Supermarket,Electronics,313
2026-02-25,S001,P002,39,250.0,0,0,Supermarket,Electronics,295
2026-02-26,S001,P002,60,250.0,0,1,Supermarket,Electronics,279
2026-02-27,S001,P002,33,250.0,0,0,Supermarket,Electronics,257
2026-02-28,S001,P002,48,250.0,0,0,Supermarket,Electronics,242
2026-03-01,S001,P002,41,250.0,0,0,Supermarket,Electronics,483
2026-03-02,S001,P002,30,250.0,0,0,Supermarket,Electronics,460
2026-03-03,S001,P002,41,250.0,0,0,Supermarket,Electronics,440
2026-03-04,S001,P002,39,250.0,0,0,Supermarket,Electronics,413
2026-03-05,S001,P002,44,250.0,0,0,Supermarket,Electronics,391
2026-03-06,S001,P002,26,250.0,0,0,Supermarket,Electronics,374
2026-03-07,S001,P002,57,250.0,0,0,Supermarket,Electronics,368
2026-03-08,S001,P002,42,250.0,0,0,Supermarket,Electronics,340
2026-03-09,S001,P002,67,250.0,20,1,Supermarket,Electronics,311
2026-03-10,S001,P002,32,250.0,0,0,Supermarket,Electronics,298
2026-03-11,S001,P002,53,250.0,0,0,Supermarket,Electronics,277
2026-03-12,S001,P002,35,250.0,0,0,Supermarket,Electronics,256
2026-03-13,S001,P002,38,250.0,0,0,Supermarket,Electronics,246
2026-03-14,S001,P002,50,250.0,0,0,Supermarket,Electronics,219
2026-03-15,S001,P002,49,250.0,0,0,Supermarket,Electronics,505
2026-03-16,S001,P002,65,250.0,10,1,Supermarket,Electronics,486
2026-03-17,S001,P002,46,250.0,0,0,Supermarket,Electronics,467
2026-03-18,S001,P002,43,250.0,0,0,Supermarket,Electronics,444
2026-03-19,S001,P002,41,250.0,0,0,Supermarket,Electronics,419
2026-03-20,S001,P002,37,250.0,0,0,Supermarket,Electronics,406
2026-03-21,S001,P002,61,250.0,0,0,Supermarket,Electronics,383
2026-03-22,S001,P002,56,250.0,0,0,Supermarket,Electronics,356
2026-03-23,S001,P002,40,250.0,0,0,Supermarket,Electronics,349
2026-03-24,S001,P002,70,250.0,0,1,Supermarket,Electronics,319
2026-03-25,S001,P002,30,250.0,0,0,Supermarket,Electronics,301
2026-03-26,S001,P002,51,250.0,0,0,Supermarket,Electronics,271
2026-03-27,S001,P002,49,250.0,0,1,Supermarket,Electronics,256
2026-03-28,S001,P002,45,250.0,0,0,Supermarket,Electronics,246
2026-03-29,S001,P002,64,250.0,0,0,Supermarket,Electronics,210
2026-03-30,S001,P002,71,250.0,0,1,Supermarket,Electronics,491
2026-03-31,S001,P002,40,250.0,0,0,Supermarket,Electronics,472
2026-04-01,S001,P002,48,250.0,0,0,Supermarket,Electronics,483
2026-04-02,S001,P002,36,250.0,0,0,Supermarket,Electronics,461
2026-04-03,S001,P002,51,250.0,0,0,Supermarket,Electronics,441
2026-04-04,S001,P002,67,250.0,10,1,Supermarket,Electronics,414
2026-04-05,S001,P002,41,250.0,0,0,Supermarket,Electronics,406
2026-04-06,S001,P002,30,250.0,0,0,Supermarket,Electronics,373
2026-04-07,S001,P002,33,250.0,0,0,Supermarket,Electronics,354
2026-04-08,S001,P002,25,250.0,0,0,Supermarket,Electronics,333
2026-04-09,S001,P002,31,250.0,0,0,Supermarket,Electronics,314
2026-04-10,S001,P002,39,250.0,0,0,Supermarket,Electronics,303
2026-04-11,S001,P002,49,250.0,0,0,Supermarket,Electronics,282
